"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6d7PQZtTbHbcYqaygOW7vs","You're the Inspiration - 2009 Remaster","spotify:artist:3iDD7bnsjL9J4fO298r0L0","Chicago","spotify:album:3kkAB63Am6POYuMTisinaa","Chicago 17 (Expanded Edition)","spotify:artist:3iDD7bnsjL9J4fO298r0L0","Chicago","1984-05-14","https://i.scdn.co/image/ab67616d0000b27307ba5bdcf5ca1a9628dadc93","1","7","229426","https://p.scdn.co/mp3-preview/da2133abe8aa91b9fdcb911bfb6a2bda3fe293b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USWB10905052","spotify:user:bradnumber1","2021-08-08T09:26:31Z","album rock,classic rock,mellow gold,rock,soft rock,yacht rock","0.578","0.606","11","-6.402","1","0.0282","0.377","0","0.317","0.357","73.912","4","","Rhino/Warner Records","C © 1984 Warner Records Inc., P ℗ 2010 Warner Records Inc. Marketed by Rhino Entertainment Company, a Warner Music Group Company."
"spotify:track:0Lg4ckCFjFUeyHOeSozcWS","The Key, The Secret","spotify:artist:1QYMj6ouUhi6yis1HE8M68","Urban Cookie Collective","spotify:album:6IjQa4ZCnkSa9cnUvA3yJG","The Very Best Of","spotify:artist:1QYMj6ouUhi6yis1HE8M68","Urban Cookie Collective","2004","https://i.scdn.co/image/ab67616d0000b273213d4607bc4ec16c452b153d","1","1","222666","https://p.scdn.co/mp3-preview/3da82e509c756338a79089a61bcb8439718aff29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBBLG0400734","spotify:user:bradnumber1","2021-08-08T09:26:31Z","diva house,eurodance,hip house","0.702","0.796","10","-6.99","1","0.0315","0.0759","0.00253","0.109","0.607","129.878","4","","Demon","C (C) 2004 Amazon Records Limited, P (P) 2004 Amazon Records Limited"
"spotify:track:5Q41NLTmGbVPozwHKK7bk2","Paradise City","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:5JKFiC2WVi9HtvJEm8CUB8","Appetite For Destruction","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1987-07-21","https://i.scdn.co/image/ab67616d0000b273c8e5391a619e9e8ea2162073","1","6","406306","https://p.scdn.co/mp3-preview/6c99e08ad1885d08023354ac96b546ffe3dee44b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USGF18714806","spotify:user:bradnumber1","2021-08-08T09:26:31Z","glam metal,hard rock,rock","0.274","0.949","11","-8.642","1","0.0896","0.0214","0.00778","0.218","0.497","100.346","4","","Interscope","C © 1987 Geffen Records, P ℗ 1987 Geffen Records"
"spotify:track:5sgVguJJlA7thC8ybAFOo5","Tonight I'm Yours (Don't Hurt Me)","spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT","Rod Stewart","spotify:album:6gDOvRUvES84YOBkMEQTbD","Tonight I'm Yours - Expanded Edition","spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT","Rod Stewart","1981","https://i.scdn.co/image/ab67616d0000b273abc644f6ad5483eb22acd51f","1","1","251866","https://p.scdn.co/mp3-preview/162ced11bcc44aba0660912ece34e6abf716f304?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USWB10807933","spotify:user:bradnumber1","2021-08-08T09:26:31Z","mellow gold,soft rock","0.68","0.826","9","-4.958","1","0.0671","0.0683","0.444","0.0861","0.963","158.314","4","","Rhino/Warner Records","C © 1981 WEA Records B.V., P ℗ 2009 WEA Records B.V. Marketed by Warner Music Group Company."
"spotify:track:43wMcgNk8o3Qx7jxg3Lkfo","You Were On My Mind","spotify:artist:1XICntAIOLc3OPozkykv39","We Five","spotify:album:7C3qjtVKjkSSaxdW07RdhP","The Very Best Of","spotify:artist:1XICntAIOLc3OPozkykv39","We Five","2011-03-01","https://i.scdn.co/image/ab67616d0000b273abebb380cdd43ea2eac542ba","1","1","156640","https://p.scdn.co/mp3-preview/217b818c56d595818b5c4c0aa85bdd2127d1178f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USA371229623","spotify:user:bradnumber1","2021-08-08T09:26:31Z","bubblegum pop,classic garage rock,merseybeat","0.533","0.533","1","-7.92","0","0.064","0.293","0","0.0996","0.638","140.494","4","","Master Classics Records","C 2011 Master Classics Records"
"spotify:track:2Foc5Q5nqNiosCNqttzHof","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi, spotify:artist:2RdwBSPQiwcmiDo9kixcl8, spotify:artist:3yDIp0kaq9EFKe07X1X2rz","Daft Punk, Pharrell Williams, Nile Rodgers","spotify:album:2ePFIvZKMe8zefATp9ofFA","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi, spotify:artist:2RdwBSPQiwcmiDo9kixcl8, spotify:artist:3yDIp0kaq9EFKe07X1X2rz","Daft Punk, Pharrell Williams, Nile Rodgers","2013-04-19","https://i.scdn.co/image/ab67616d0000b2731d5cf960a92bb8b03fc2be7f","1","1","248413","https://p.scdn.co/mp3-preview/9b7eaf7fb5cab29251df52e9a4f46fad14e29aa1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USQX91300809","spotify:user:bradnumber1","2021-08-08T09:26:31Z","electro,filter house,rock,dance pop,pop,disco","0.794","0.811","6","-8.966","0","0.038","0.0426","0.00000107","0.101","0.862","116.047","4","","Columbia","P (P) 2013 Daft Life Limited under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:6LZOgBvntXL1egqIHHPnhn","Party","spotify:artist:0VyhYyWWF5yYomHQR4hCMl","Christine Anu","spotify:album:5aAUULuBofq0pQXbvQt6g4","Stylin' Up","spotify:artist:0VyhYyWWF5yYomHQR4hCMl","Christine Anu","1995","https://i.scdn.co/image/ab67616d0000b27383f1760b296c770872f11776","1","7","194533","https://p.scdn.co/mp3-preview/36827067c6d3fa27e82be16932e15c3439fc4fe6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","AUMU09500006","spotify:user:bradnumber1","2021-08-08T09:26:31Z","australian indigenous music,australian pop,australian rock","0.734","0.923","11","-8.189","1","0.0561","0.0495","0.0000129","0.0612","0.847","109.661","4","","WM Australia","C © 1995 Mushroom Records, P ℗ 1995 Mushroom Records"
"spotify:track:5ma71INSTL8sY1HzjVBj2g","Riptide","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:1TIkCvpgUWCpjKOuMVaGZD","Dream Your Life Away","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-09-05","https://i.scdn.co/image/ab67616d0000b273bcf5a4f38fba7a4bceef0591","1","4","201733","https://p.scdn.co/mp3-preview/d2a7f46a047a571376722c395eeb8e44dd0611b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","AULI01385760","spotify:user:bradnumber1","2021-08-08T09:26:31Z","folk-pop,modern rock","0.502","0.719","1","-6.649","1","0.0349","0.46","0","0.114","0.438","101.609","4","","Liberation Records","C 2014 Liberation Music, P 2014 Liberation Music"
"spotify:track:2SBQBV1atDy4tbEfGicT7u","Heartaches By The Number","spotify:artist:1YAtBHWaWzZnkaoSFHGTBV","Guy Mitchell","spotify:album:3sNFBXnLNjwcsKEZGnaz1G","Heartaches By The Number","spotify:artist:1YAtBHWaWzZnkaoSFHGTBV","Guy Mitchell","2009-10-19","https://i.scdn.co/image/ab67616d0000b273ee642915bf7d424d4ad73548","1","1","153901","https://p.scdn.co/mp3-preview/2ff3470357bdc73a6308129edd834f90fa38e95f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","GBQRF0832786","spotify:user:bradnumber1","2021-08-08T09:26:31Z","deep adult standards","0.518","0.556","5","-13.264","1","0.0479","0.526","0.000003","0.0853","0.736","171.496","4","","Vision 21 OMP","C 2009 One Media Publishing"
"spotify:track:5AhRNIjYPBleR1lfHphcrE","The Edge of Heaven","spotify:artist:5lpH0xAS4fVfLkACg9DAuM","Wham!","spotify:album:099le4PQZ57X2LY9xVNOpc","Music From The Edge Of Heaven","spotify:artist:5lpH0xAS4fVfLkACg9DAuM","Wham!","1986-07-01","https://i.scdn.co/image/ab67616d0000b27347a1c7bc033eaab417db698b","1","1","270800","https://p.scdn.co/mp3-preview/52a96c7043d7a2d9a83f55b88b7dab1bc5934786?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GBBBN0009290","spotify:user:bradnumber1","2021-08-08T09:26:31Z","new romantic,new wave,new wave pop,soft rock","0.493","0.665","9","-13.817","0","0.0424","0.117","0","0.159","0.877","152.644","4","","Columbia","P 1984-1986 CBS Records"
"spotify:track:2RiJYFyzmE4a5xYV7n7sgI","Should’ve Been Us","spotify:artist:1vSN1fsvrzpbttOYGsliDr","Tori Kelly","spotify:album:7cd41qBONvfjaQI6r8MCGp","Unbreakable Smile","spotify:artist:1vSN1fsvrzpbttOYGsliDr","Tori Kelly","2015-06-23","https://i.scdn.co/image/ab67616d0000b273813b123f5b37b2c80f6eefbd","1","5","186477","https://p.scdn.co/mp3-preview/e81eff876738b140889a2819a8a2fc8f8c8d1390?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USUM71505910","spotify:user:bradnumber1","2021-08-08T09:26:31Z","pop,post-teen pop","0.65","0.766","6","-5.443","0","0.119","0.00408","0.00000669","0.0759","0.467","89.974","4","","EMI Recorded Music Australia Pty Ltd","C (C) 2015 Capitol Records & Schoolboy Records, P (P) 2015 Capitol Records & Schoolboy Records"
"spotify:track:7g7OshelYRRnOSEMmisJVI","Clap Your Hands","spotify:artist:7keGfmQR4X5w0two1xKZ7d","Kungs","spotify:album:2Uxn2xBab5Sjo3gnfuir7q","Clap Your Hands","spotify:artist:7keGfmQR4X5w0two1xKZ7d","Kungs","2022-02-18","https://i.scdn.co/image/ab67616d0000b2739f93d1c32d39d12312d25a68","1","1","189880","https://p.scdn.co/mp3-preview/ceebad9013abe7d7c1628ab811fb05b490f649b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","FR9W12139309","spotify:user:bradnumber1","2023-05-14T10:59:17Z","edm,pop dance,uk dance","0.878","0.875","1","-4.923","1","0.0658","0.0507","0.0000342","0.356","0.84","124.006","4","","Universal Music Division Island Def Jam","C © 2022 Val Production / Island Def Jam, P ℗ 2022 Val Production / Island Def Jam"
"spotify:track:1t4I9xuq9Mgdq4SR5hV8p5","Good Clean Fun","spotify:artist:320EPCSEezHt1rtbfwH6Ck","The Monkees","spotify:album:1XpsJZsZD42yllg4Xg6dXF","The Monkees Present: Micky, David & Michael","spotify:artist:320EPCSEezHt1rtbfwH6Ck","The Monkees","1969-10-01","https://i.scdn.co/image/ab67616d0000b27336b4638f70c2c6e52f2c3154","1","2","135800","https://p.scdn.co/mp3-preview/0e98a942daddf82423b8ac5785b42d23c36c437d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USRH10281213","spotify:user:bradnumber1","2021-08-08T09:26:31Z","album rock,beatlesque,bubblegum pop,classic rock,folk rock,mellow gold,rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop","0.582","0.836","11","-9.3","0","0.0559","0.129","0.00000181","0.248","0.915","110.563","4","","Rhino","C © 1994 Rhino Records Inc., P ℗ 1994 Rhino Records Inc."
"spotify:track:6ER7Wg69KVV8Vrb1Bln3Cr","Teach Me How to Fly","spotify:artist:5lcXivnykIkBmcmaD2Vi99, spotify:artist:7BHRujdBRmwb704u4Iv4JC","Jeff St John, The Copperwine","spotify:album:36HAfPYsx7cPglngjKbRSa","70 Hits of the '70s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-11-04","https://i.scdn.co/image/ab67616d0000b273a6f173ddeeeca55fc54cddf3","1","32","248640","https://p.scdn.co/mp3-preview/043caba9159e32b7de21975acf6551d61c8508ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","AUFE07000001","spotify:user:bradnumber1","2021-08-08T09:26:31Z","hammond organ","0.466","0.82","2","-6.089","1","0.0689","0.0503","0.0448","0.294","0.718","139.581","4","","WM Australia","C © 2016 Warner Music Australia Pty Ltd, P ℗ 2016 Warner Music Australia Pty Ltd"
"spotify:track:7zCaXeBaRwCSQ9JJvop7OL","Together We Are One - Radio Mix","spotify:artist:2g6fa86fL6oLcoDqanBbuR","Delta Goodrem","spotify:album:6KE4Ofd01fwm7cuJNsS5NZ","Together We Are One","spotify:artist:2g6fa86fL6oLcoDqanBbuR","Delta Goodrem","2006-04-01","https://i.scdn.co/image/ab67616d0000b273a1cc359c41d495f5aad8176f","1","1","254626","https://p.scdn.co/mp3-preview/2232a1599a41fd2f41ab9ea08ac3f6f7d891d775?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","AUBM00600111","spotify:user:bradnumber1","2021-08-08T09:26:31Z","australian pop","0.455","0.621","9","-3.828","1","0.0294","0.0535","0","0.109","0.16","134.015","4","","Epic","P (P) 2006 Sony Music Entertainment Australia Pty Ltd"
"spotify:track:656xZ2pwfA1J59EMussJOK","No Secrets","spotify:artist:2PeqTZKroEc2oDwTfmB2al","The Angels","spotify:album:6WWq4QGRPcBEWpeB9w4qJR","Greatest Hits","spotify:artist:2PeqTZKroEc2oDwTfmB2al","The Angels","2011-10-28","https://i.scdn.co/image/ab67616d0000b273826a430afccd21d8c8bfa3ee","1","10","258959","https://p.scdn.co/mp3-preview/079d5ca7ad61eaa819513d96b56ca4481f74bd17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","AULI00515860","spotify:user:bradnumber1","2021-08-08T09:26:31Z","australian rock","0.445","0.719","7","-5.147","1","0.0285","0.000163","0.00000836","0.217","0.551","142.02","4","","Bloodlines","C 2011 Bloodlines, P 2011 Bloodlines"
"spotify:track:2skmOCFU64Bg7Ytkgwliwe","All For You","spotify:artist:7m60UAnbgFFNuJbmS6OxTk","Sister Hazel","spotify:album:2lHGAzINLOdD0505xdjpyZ","...Somewhere More Familiar","spotify:artist:7m60UAnbgFFNuJbmS6OxTk","Sister Hazel","1997-01-01","https://i.scdn.co/image/ab67616d0000b273ec9714658411bb44e6bbf798","1","3","218706","https://p.scdn.co/mp3-preview/83364250663e320011b339875d40f3a7768c28dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USUR10000469","spotify:user:bradnumber1","2021-10-20T22:25:44Z","neo mellow,pop rock,post-grunge","0.633","0.754","8","-6.497","1","0.0382","0.0316","0.0000249","0.091","0.641","137.049","4","","Universal Records","C © 1997 Universal Records, a Division of UMG Recordings, Inc., P ℗ 1997 Universal Records, a Division of UMG Recordings, Inc."
"spotify:track:7nQqn8ZyaQdlBQPZ6KbT24","Special","spotify:artist:6S0GHTqz5sxK5f9HtLXn9q","Garbage","spotify:album:2DHNIBnnf8KBVmqIbnUYEd","Absolute Garbage","spotify:artist:6S0GHTqz5sxK5f9HtLXn9q","Garbage","2012-07-23","https://i.scdn.co/image/ab67616d0000b273784e24a8187974037ecd4b45","1","9","226493","https://p.scdn.co/mp3-preview/62ea26de2fe0cd2d2ce9805d3faca7a51dd59705?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USAL19800026","spotify:user:bradnumber1","2022-08-26T01:26:59Z","alternative rock,dance rock,electronic rock,permanent wave","0.433","0.943","0","-4.467","0","0.0434","0.000014","0.144","0.138","0.398","131.643","4","","Liberator Music","C 2012 STUNVOLUME, P 2012 STUNVOLUME"
"spotify:track:5qnqVH96GFq3Qo71lEkFT5","Saturday Sun","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:3S9ZdKgCTuobkoIWUK2gH0","Nation of Two","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2018-02-23","https://i.scdn.co/image/ab67616d0000b2730301c4c2b4fc7299df04cbf6","1","4","214746","https://p.scdn.co/mp3-preview/47204eb241dee5c510728f25ba9cb723c3ed95d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USAT21705384","spotify:user:bradnumber1","2021-08-08T09:26:31Z","folk-pop,modern rock","0.628","0.869","8","-4.339","1","0.0489","0.497","0","0.169","0.701","99.97","4","","Liberation Records","C 2018 Liberation Records, P 2018 Liberation Records"
"spotify:track:6TBUBqz21JmF2hkeRbnwme","Montego Bay","spotify:artist:7iH90f18JHtgA6f4hjJpo2","Bobby Bloom","spotify:album:5kdm7tgxEgY7rYpQ3Bvg4y","The Bobby Bloom Album","spotify:artist:7iH90f18JHtgA6f4hjJpo2","Bobby Bloom","1970-01-01","https://i.scdn.co/image/ab67616d0000b2732c457d4d053065310063d791","1","11","176466","https://p.scdn.co/mp3-preview/2ef5849fcf4f33fe021fc5d3223dbaf346d004dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USPR37007123","spotify:user:bradnumber1","2021-08-08T09:26:31Z","","0.765","0.586","7","-10.332","1","0.0367","0.734","0.00218","0.113","0.943","105.567","4","","Universal Records","C © 1970 Universal Records, a Division of UMG Recordings, Inc., P ℗ 1970 Universal Records, a Division of UMG Recordings, Inc."
